"snapshot_id","entity_id","vehicle_id","vehicle_label","trip_id","route_id","current_stop_id","previous_stop_id","next_stop_id","next_stop_sequence","status","latitude","longitude"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C7-21840","21840","C7-21840-PLATF.(2)",NULL,NULL,"10000",NULL,NULL,NULL,"STOPPED_AT","40.42163","-3.7193205"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C7-21834","21834","C7-21834-PLATF.(2)",NULL,NULL,NULL,NULL,NULL,NULL,"INCOMING_AT",NULL,NULL
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C6-70863","70863","C6-70863-PLATF.(2)","2023L70863C6","20T0015C6","05515","05513","05517",11,"STOPPED_AT",NULL,NULL
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C6-70860","70860","C6-70860-PLATF.(2)","2023L70860C6","20T0016C6","05529","05531","05527",5,"INCOMING_AT",NULL,NULL
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C6-70858","70858","C6-70858-PLATF.(1)","2023L70858C6","20T0016C6",NULL,NULL,NULL,NULL,"INCOMING_AT",NULL,NULL
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C6-70765","70765","C6-70765-PLATF.(1)","2023L70765C6","20T0015C6","05504","15211","05505",3,"STOPPED_AT",NULL,NULL
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C6-24339","24339","C6-24339-PLATF.(1)","4023L24339C6","40T0014C6","65209","65300","65208",3,"INCOMING_AT","39.954987","-0.07685744"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C6-24338","24338","C6-24338-PLATF.(4)","4023L24338C6","40T0013C6","65000",NULL,"65002",2,"INCOMING_AT","39.465065","-0.37811995"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C6-24337","24337","C6-24337","4023L24337C6","40T0014C6","65202","65204","65200",8,"STOPPED_AT","39.748676","-0.2182452"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C6-24336","24336","C6-24336","4023L24336C6","40T0013C6","65002","65000","65003",3,"IN_TRANSIT_TO","39.444897","-0.34090835"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C6-24335","24335","C6-24335-PLATF.(3)","4023L24335C6","40T0014C6","65006","65007","65005",15,"INCOMING_AT","39.55572","-0.3181359"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C6-24334","24334","C6-24334","4023L24334C6","40T0013C6","65200","65008","65201",10,"STOPPED_AT","39.675564","-0.27121595"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-70417","70417","C5-70417-PLATF.(1)","2023L70417C5","20T0011C5","05437","05433","05439",10,"STOPPED_AT",NULL,NULL
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-23823","23823","C5-23823","3023L23823C5","30T0009C5","51103",NULL,"51111",2,"IN_TRANSIT_TO","37.33271","-5.9639754"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-23821","23821","C5-23821","3023L23821C5","30T0009C5","43000","51003","43002",7,"IN_TRANSIT_TO","37.426704","-5.9989505"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-23819","23819","C5-23819","3023L23819C5","30T0009C5","43004","43003","43005",13,"IN_TRANSIT_TO","37.374744","-6.1969543"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-20851","20851","C5-20851-PLATF.(1)",NULL,NULL,"35002",NULL,NULL,NULL,"STOPPED_AT","40.283237","-3.7991464"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-20845","20845","C5-20845-PLATF.(1)",NULL,NULL,"35002",NULL,NULL,NULL,"STOPPED_AT","40.283237","-3.7991464"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-20843","20843","C5-20843-PLATF.(1)",NULL,NULL,"35001",NULL,NULL,NULL,"INCOMING_AT","40.328766","-3.7714624"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-20839","20839","C5-20839-PLATF.(4)",NULL,NULL,"37001",NULL,NULL,NULL,"STOPPED_AT","40.34132","-3.7123663"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-20836","20836","C5-20836-PLATF.(2)",NULL,NULL,"35607",NULL,NULL,NULL,"STOPPED_AT","40.330883","-3.8823783"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-20834","20834","C5-20834-PLATF.(2)","1023L20834C5","10T0017C5","35607",NULL,"35606",2,"STOPPED_AT","40.330883","-3.8823783"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-20833","20833","C5-20833-PLATF.(2)",NULL,NULL,"35608",NULL,NULL,NULL,"IN_TRANSIT_TO","40.39867","-3.7532248"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-20832","20832","C5-20832-PLATF.(1)",NULL,NULL,"35605",NULL,NULL,NULL,"IN_TRANSIT_TO","40.3503","-3.8317595"
"ff911895-c0a7-4b3a-91a6-d0d292bacb55","VP_C5-20831","20831","C5-20831-PLATF.(2)",NULL,NULL,"35601",NULL,NULL,NULL,"IN_TRANSIT_TO","40.38357","-3.7686734"
