"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence","shape_dist_traveled"
"997-9","41.357191","2.065618","7","1034.2"
"997-9","41.356376","2.066375","8","1144.7"
"997-9","41.356316","2.066487","9","1156.2"
"997-9","41.356285","2.066594","10","1165.7"
"997-9","41.356274","2.066678","11","1172.9"
"997-9","41.35628","2.066807","12","1183.6"
"997-9","41.356325","2.066966","13","1197.8"
"997-9","41.356652","2.067784","14","1275.2"
"997-9","41.356745","2.068054","15","1300"
"997-9","41.356781","2.068256","16","1317.3"
"997-9","41.356813","2.068646","17","1350.1"
"997-9","41.35688","2.068981","18","1379"
"997-9","41.357008","2.069277","19","1407.5"
"997-9","41.357348","2.069916","20","1472.9"
"997-9","41.357475","2.070096","21","1493.5"
"997-9","41.357613","2.070241","22","1513"
"997-9","41.357774","2.070361","23","1533.5"
"997-9","41.357991","2.070475","24","1559.5"
"997-9","41.359399","2.071131","25","1725.3"
"997-9","41.359796","2.071382","26","1774.2"
"997-9","41.360205","2.071719","27","1827.7"
"997-9","41.368024","2.079398","28","2907.8"
"997-9","41.368388","2.079858","29","2963.6"
"997-9","41.3686","2.080092","30","2994.2"
"997-9","41.369044","2.080423","31","3050.7"
"997-9","41.369316","2.08066","32","3086.9"
"997-9","41.375539","2.086771","33","3946.4"
"997-9","41.375895","2.087165","34","3997.9"
"997-9","41.376186","2.087601","35","4046.6"
"997-9","41.377122","2.08919","36","4215.1"
"997-9","41.377178","2.089336","37","4228.8"
"997-9","41.377208","2.089482","38","4241.4"
"997-9","41.377208","2.08981","39","4268.8"
"997-9","41.376722","2.096535","40","4832.5"
"997-9","41.375979","2.107179","41","5724.5"
"997-9","41.375913","2.11015","42","5972.5"
"997-9","41.375918","2.110265","43","5982.1"
"997-9","41.375937","2.110345","44","5989.1"
"997-9","41.375988","2.110444","45","5999.1"
"997-9","41.37607","2.110524","46","6010.4"
"997-9","41.376791","2.111007","47","6100.2"
"997-9","41.377433","2.111466","48","6181.2"
"997-9","41.379073","2.112879","49","6398.3"
"997-9","41.379214","2.11306","50","6420.1"
"997-9","41.379645","2.113901","51","6505.1"
"997-9","41.379791","2.11413","52","6530.1"
"997-9","41.379918","2.114296","53","6549.9"
"997-9","41.380092","2.114478","54","6574.5"
"997-9","41.380342","2.11468","55","6607"
"997-9","41.380635","2.114867","56","6643.1"
"997-9","41.380882","2.114992","57","6672.5"
"997-9","41.381894","2.115419","58","6790.6"
"997-9","41.382022","2.11545","59","6805"
"997-9","41.382121","2.115447","60","6816"
"997-9","41.382513","2.11529","61","6861.5"
"997-9","41.38459","2.114353","62","7105.4"
"997-9","41.384668","2.114345","63","7114.1"
"997-9","41.384742","2.114364","64","7122.5"
"997-9","41.384839","2.11444","65","7135"
"997-9","41.384887","2.114515","66","7143.2"
"997-9","41.384953","2.114727","67","7162.3"
"997-9","41.391718","2.141367","68","9508.6"
"997-9","41.391833","2.141704","69","9539.5"
"997-9","41.39202","2.142367","70","9598.6"
"997-9","41.392217","2.143138","71","9666.5"
"997-7","41.364543","2.058792","0","0"
"997-7","41.364318","2.058626","1","28.6"
"997-7","41.363941","2.0585","2","71.8"
"997-7","41.363789","2.058486","3","88.8"
"997-7","41.363684","2.05854","4","101.3"
"997-7","41.363075","2.059255","5","191.5"
"997-7","41.357781","2.065002","6","950.9"
"997-7","41.357191","2.065618","7","1034.2"
"997-7","41.356376","2.066375","8","1144.7"
"997-7","41.356316","2.066487","9","1156.2"
"997-7","41.356285","2.066594","10","1165.7"
"997-7","41.356274","2.066678","11","1172.9"
"997-7","41.35628","2.066807","12","1183.6"
"997-7","41.356325","2.066966","13","1197.8"
"997-7","41.356652","2.067784","14","1275.2"
"997-7","41.356745","2.068054","15","1300"
"997-7","41.356781","2.068256","16","1317.3"
"997-7","41.356813","2.068646","17","1350.1"
"997-7","41.35688","2.068981","18","1379"
"997-7","41.357008","2.069277","19","1407.5"
"997-7","41.357348","2.069916","20","1472.9"
"997-7","41.357475","2.070096","21","1493.5"
"997-7","41.357613","2.070241","22","1513"
"997-7","41.357774","2.070361","23","1533.5"
"997-7","41.357991","2.070475","24","1559.5"
"997-7","41.359399","2.071131","25","1725.3"
"997-7","41.359796","2.071382","26","1774.2"
"997-7","41.360205","2.071719","27","1827.7"
"997-7","41.368024","2.079398","28","2907.8"
"997-7","41.368388","2.079858","29","2963.6"
"997-7","41.3686","2.080092","30","2994.2"
"997-7","41.369044","2.080423","31","3050.7"
"997-7","41.369316","2.08066","32","3086.9"
"997-7","41.375539","2.086771","33","3946.4"
"997-7","41.375895","2.087165","34","3997.9"
"997-7","41.376186","2.087601","35","4046.6"
"997-7","41.377122","2.08919","36","4215.1"
"997-7","41.377178","2.089336","37","4228.8"
"997-7","41.377208","2.089482","38","4241.4"
"997-7","41.377208","2.08981","39","4268.8"
"997-7","41.376722","2.096535","40","4832.5"
"997-7","41.375979","2.107179","41","5724.5"
"997-7","41.375913","2.11015","42","5972.5"
"997-7","41.375918","2.110265","43","5982.1"
"997-7","41.375937","2.110345","44","5989.1"
"997-7","41.375988","2.110444","45","5999.1"
"997-7","41.37607","2.110524","46","6010.4"
"997-7","41.376791","2.111007","47","6100.2"
"997-7","41.377433","2.111466","48","6181.2"
"997-7","41.379073","2.112879","49","6398.3"
"997-7","41.379214","2.11306","50","6420.1"
"997-7","41.379645","2.113901","51","6505.1"
"997-7","41.379791","2.11413","52","6530.1"
"997-7","41.379918","2.114296","53","6549.9"
"997-7","41.380092","2.114478","54","6574.5"
"997-7","41.380342","2.11468","55","6607"
"997-7","41.380635","2.114867","56","6643.1"
"997-7","41.380882","2.114992","57","6672.5"
"997-7","41.381894","2.115419","58","6790.6"
"997-7","41.382022","2.11545","59","6805"
"997-7","41.382121","2.115447","60","6816"
"997-7","41.382513","2.11529","61","6861.5"
"997-7","41.38459","2.114353","62","7105.4"
"997-7","41.384668","2.114345","63","7114.1"
"997-7","41.384742","2.114364","64","7122.5"
"997-7","41.384839","2.11444","65","7135"
"997-7","41.384887","2.114515","66","7143.2"
"997-7","41.384953","2.114727","67","7162.3"
"997-7","41.389749","2.133649","68","8828.5"
"997-7","41.391703","2.141303","69","9503"
"997-7","41.392187","2.143289","70","9677.2"
"997-2","41.371006","2.076222","0","0"
"997-2","41.370759","2.076053","1","30.9"
"997-2","41.370476","2.075768","2","70.3"
"997-2","41.370282","2.075499","3","101.5"
"997-2","41.370051","2.075032","4","148.1"
"997-2","41.369636","2.074034","5","243.3"
"997-2","41.36857","2.070872","6","532.6"
"997-2","41.368436","2.070648","7","556.5"
"997-2","41.368321","2.070297","8","588.5"
"997-2","41.368264","2.069921","9","620.5"
"997-2","41.367961","2.06683","10","880.6"
"997-2","41.367952","2.066008","11","949.2"
"997-2","41.367964","2.065742","12","971.4"
"997-2","41.368039","2.06492","13","1040.5"
"997-2","41.368053","2.064585","14","1068.5"
"997-2","41.368027","2.064027","15","1115.2"
"997-2","41.367963","2.063551","16","1155.6"
"997-2","41.367813","2.062947","17","1208.6"
"997-2","41.367688","2.062531","18","1246"
"997-2","41.367565","2.062272","19","1271.6"
"997-2","41.367361","2.061954","20","1306.5"
"997-2","41.367013","2.061218","21","1379.1"
"997-2","41.366807","2.060922","22","1412.8"
"997-2","41.366614","2.060682","23","1442.2"
"997-2","41.366246","2.060278","24","1495.2"
"997-2","41.36543","2.05951","25","1606.3"
"997-2","41.365103","2.05925","26","1648.6"
"997-2","41.364937","2.059085","27","1671.6"
"997-2","41.364318","2.058626","28","1750.4"
"997-2","41.363873","2.058483","29","1801.3"
"997-2","41.363789","2.058486","30","1810.7"
"997-2","41.363684","2.05854","31","1823.2"
"997-2","41.363075","2.059255","32","1913.4"
"997-2","41.357781","2.065002","33","2672.8"
"997-2","41.357191","2.065618","34","2756.1"
"997-2","41.356418","2.066325","35","2860.4"
"997-2","41.356316","2.066487","36","2878"
"997-2","41.356277","2.066639","37","2891.4"
"997-2","41.356288","2.066845","38","2908.7"
"997-2","41.356745","2.068054","39","3021.6"
"997-2","41.356781","2.068256","40","3039"
"997-2","41.356813","2.068646","41","3071.7"
"997-2","41.35688","2.068981","42","3100.7"
"997-2","41.357073","2.069401","43","3141.8"
"997-2","41.357348","2.069916","44","3194.5"
"997-2","41.357475","2.070096","45","3215.1"
"997-2","41.357613","2.070241","46","3234.7"
"997-2","41.357774","2.070361","47","3255.2"
"997-2","41.359224","2.071044","48","3426.2"
"997-2","41.359598","2.07125","49","3471.2"
"997-2","41.35997","2.071513","50","3518"
"997-2","41.360378","2.071887","51","3573.1"
"997-2","41.368024","2.079398","52","4629.4"
"997-2","41.368388","2.079858","53","4685.2"
"997-2","41.3686","2.080092","54","4715.8"
"997-2","41.369044","2.080423","55","4772.3"
"997-2","41.369316","2.08066","56","4808.5"
"997-2","41.375539","2.086771","57","5668"
"997-2","41.375895","2.087165","58","5719.5"
"997-2","41.376186","2.087601","59","5768.2"
"997-2","41.377122","2.08919","60","5936.7"
"997-2","41.377178","2.089336","61","5950.4"
"997-2","41.377208","2.089482","62","5963.1"
"997-2","41.377208","2.08981","63","5990.4"
"997-2","41.376722","2.096535","64","6554.1"
"997-2","41.375979","2.107179","65","7446.1"
"997-2","41.375913","2.11015","66","7694.1"
"997-2","41.375918","2.110265","67","7703.7"
"997-2","41.375937","2.110345","68","7710.7"
"997-2","41.375988","2.110444","69","7720.7"
"997-2","41.37607","2.110524","70","7732"
"997-2","41.376791","2.111007","71","7821.8"
"997-2","41.377433","2.111466","72","7902.8"
"997-2","41.379073","2.112879","73","8119.9"
"997-2","41.379214","2.11306","74","8141.7"
"997-2","41.379645","2.113901","75","8226.7"
"997-2","41.379791","2.11413","76","8251.7"
"997-2","41.379918","2.114296","77","8271.5"
"997-2","41.380092","2.114478","78","8296.1"
"997-2","41.380342","2.11468","79","8328.6"
"997-2","41.380635","2.114867","80","8364.8"
"997-2","41.380882","2.114992","81","8394.1"
"997-2","41.381894","2.115419","82","8512.2"
"997-2","41.382022","2.11545","83","8526.6"
"997-2","41.382121","2.115447","84","8537.6"
"997-2","41.382513","2.11529","85","8583.2"
"997-2","41.38459","2.114353","86","8827"
"997-2","41.384668","2.114345","87","8835.7"
"997-2","41.384742","2.114364","88","8844.1"
"997-2","41.384839","2.11444","89","8856.6"
"997-2","41.384887","2.114515","90","8864.8"
"997-2","41.384953","2.114727","91","8883.9"
"997-2","41.391718","2.141367","92","11230.2"
"997-2","41.391833","2.141704","93","11261.1"
"997-2","41.39202","2.142367","94","11320.2"
"997-2","41.392217","2.143138","95","11388.1"
"997-3","41.371006","2.076222","0","0"
"997-3","41.370759","2.076053","1","30.9"
"997-3","41.370476","2.075768","2","70.3"
"997-3","41.370282","2.075499","3","101.5"
"997-3","41.370051","2.075032","4","148.1"
"997-3","41.369636","2.074034","5","243.3"
"997-3","41.36857","2.070872","6","532.6"
"997-3","41.368436","2.070648","7","556.5"
"997-3","41.368321","2.070297","8","588.5"
"997-3","41.368264","2.069921","9","620.5"
"997-3","41.367961","2.06683","10","880.6"
"997-3","41.367952","2.066008","11","949.2"
"997-3","41.367964","2.065742","12","971.4"
"997-3","41.368039","2.06492","13","1040.5"
"997-3","41.368053","2.064585","14","1068.5"
"997-3","41.368027","2.064027","15","1115.2"
"997-3","41.367963","2.063551","16","1155.6"
"997-3","41.367813","2.062947","17","1208.6"
"997-3","41.367688","2.062531","18","1246"
"997-3","41.367565","2.062272","19","1271.6"
"997-3","41.367361","2.061954","20","1306.5"
"997-3","41.367013","2.061218","21","1379.1"
"997-3","41.366807","2.060922","22","1412.8"
"997-3","41.366614","2.060682","23","1442.2"
"997-3","41.366246","2.060278","24","1495.2"
"997-3","41.36543","2.05951","25","1606.3"
"997-3","41.365103","2.05925","26","1648.6"
"997-3","41.364937","2.059085","27","1671.6"
"997-3","41.364318","2.058626","28","1750.4"
"997-3","41.363873","2.058483","29","1801.3"
"997-3","41.363789","2.058486","30","1810.7"
"997-3","41.363684","2.05854","31","1823.2"
"997-3","41.363075","2.059255","32","1913.4"
"997-3","41.357781","2.065002","33","2672.8"
"997-3","41.357191","2.065618","34","2756.1"
"997-3","41.356418","2.066325","35","2860.4"
"997-3","41.356316","2.066487","36","2878"
"997-3","41.356277","2.066639","37","2891.4"
"997-3","41.356288","2.066845","38","2908.7"
"997-3","41.356745","2.068054","39","3021.6"
"997-3","41.356781","2.068256","40","3039"
"997-3","41.356813","2.068646","41","3071.7"
"997-3","41.35688","2.068981","42","3100.7"
"997-3","41.357073","2.069401","43","3141.8"
"997-3","41.357348","2.069916","44","3194.5"
"997-3","41.357475","2.070096","45","3215.1"
"997-3","41.357613","2.070241","46","3234.7"
"997-3","41.357774","2.070361","47","3255.2"
"997-3","41.359224","2.071044","48","3426.2"
"997-3","41.359598","2.07125","49","3471.2"
"997-3","41.35997","2.071513","50","3518"
"997-3","41.360378","2.071887","51","3573.1"
"997-3","41.368024","2.079398","52","4629.4"
"997-3","41.368388","2.079858","53","4685.2"
"997-3","41.3686","2.080092","54","4715.8"
"997-3","41.369044","2.080423","55","4772.3"
"997-3","41.369316","2.08066","56","4808.5"
"997-3","41.375539","2.086771","57","5668"
"997-3","41.375895","2.087165","58","5719.5"
"997-3","41.376186","2.087601","59","5768.2"
"997-3","41.377122","2.08919","60","5936.7"
"997-3","41.377178","2.089336","61","5950.4"
"997-3","41.377208","2.089482","62","5963.1"
"997-3","41.377208","2.08981","63","5990.4"
"997-3","41.376722","2.096535","64","6554.1"
"997-3","41.375979","2.107179","65","7446.1"
"997-3","41.375913","2.11015","66","7694.1"
"997-3","41.375918","2.110265","67","7703.7"
"997-3","41.375937","2.110345","68","7710.7"
"997-3","41.375988","2.110444","69","7720.7"
"997-3","41.37607","2.110524","70","7732"
"997-3","41.376791","2.111007","71","7821.8"
"997-3","41.377433","2.111466","72","7902.8"
"997-3","41.379073","2.112879","73","8119.9"
"997-3","41.379214","2.11306","74","8141.7"
"997-3","41.379645","2.113901","75","8226.7"
"997-3","41.379791","2.11413","76","8251.7"
"997-3","41.379918","2.114296","77","8271.5"
"997-3","41.380092","2.114478","78","8296.1"
"997-3","41.380342","2.11468","79","8328.6"
"997-3","41.380635","2.114867","80","8364.8"
"997-3","41.380882","2.114992","81","8394.1"
"997-3","41.381894","2.115419","82","8512.2"
"997-3","41.382022","2.11545","83","8526.6"
"997-3","41.382121","2.115447","84","8537.6"
"997-3","41.382513","2.11529","85","8583.2"
"997-3","41.38459","2.114353","86","8827"
"997-3","41.384668","2.114345","87","8835.7"
"997-3","41.384742","2.114364","88","8844.1"
"997-3","41.384839","2.11444","89","8856.6"
"997-3","41.384887","2.114515","90","8864.8"
"997-3","41.384953","2.114727","91","8883.9"
"997-3","41.389749","2.133649","92","10550.2"
"997-3","41.391703","2.141303","93","11224.6"
"997-3","41.392187","2.143289","94","11398.8"
